Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7, C8, C9",01005,9,0.1uF,C1525
J1,PinHeader_1x02_P2.54mm_Vertical,1,SR_QH_Return,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Signals_OUT,
J3,PinHeader_1x04_P2.54mm_Vertical,1,Signals_IN,
J4,Pin header spacing,1,Power_IN,
J5,Pin header spacing,1,Power_OUT,
"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8",WS2812B-B_W,8,WS2812B-B/W,C2761795
R1,1206,1,400R,C706413
"R10, R2, R3, R4, R5, R6, R7, R8, R9",1206,9,10kR,C17902
"U1, U2, U3, U5, U6, U7, U8, U9",A3144,8,A3144,
U4,DIP-16_W10.16mm_LongPads,1,SN74HC165N,
