Designator,Mid X,Mid Y,Rotation,Layer
C1,-31.174974,-180.9,0.0,top
C2,-31.099974,-123.9,0.0,top
C3,-31.124974,-66.7,0.0,top
C4,-31.099974,-9.599924,0.0,top
C5,-31.099974,47.5,0.0,top
C6,-31.124974,104.599924,0.0,top
C7,-31.124974,161.7,0.0,top
C8,-31.049974,218.8,0.0,top
C9,-53.18,-6.27,90.0,top
J1,-40.9,-223.555,180.0,bottom
J2,-76.3,-205.77,0.0,bottom
J3,-23.0,-205.67,0.0,bottom
J4,-22.93,-216.365,180.0,bottom
J5,-76.13,-216.32,180.0,bottom
LED1,-28.749987,-177.249962,90.0,top
LED2,-28.749987,-120.149962,90.0,top
LED3,-28.749987,-63.049962,90.0,top
LED4,-28.749987,-5.949962,90.0,top
LED5,-28.749987,51.150038,90.0,top
LED6,-28.749987,108.249962,90.0,top
LED7,-28.749987,165.350038,90.0,top
LED8,-28.749987,222.450038,90.0,top
R1,-28.899974,-170.85,0.0,top
R10,-49.0,8.1,0.0,top
R2,-45.9,-190.2375,90.0,top
R3,-45.9,-133.1625,90.0,top
R4,-45.9,-76.0625,90.0,top
R5,-45.9,-18.9625,90.0,top
R6,-45.9,38.1375,270.0,top
R7,-45.9,95.3,90.0,top
R8,-45.9,152.3375,90.0,top
R9,-45.9,209.4375,90.0,top
U1,-49.65,-198.1,180.0,top
U2,-49.65,-141.0,180.0,top
U3,-49.65,-83.9,180.0,top
U4,-60.1,1.8,180.0,bottom
U5,-49.65,-26.8,180.0,top
U6,-49.65,30.3,180.0,top
U7,-49.65,87.4,180.0,top
U8,-49.65,144.5,180.0,top
U9,-49.65,201.6,180.0,top
